IL%,LCD (Å)-C,PLD (Å)-C,LCD/PLD,Density (g/cm3)-C,Porosity-C,PV (cm3/g)-C,C%-C,H%-C,N%-C,O%-C,Metal%-C,Halogen%-C,Metalloids%-C,Ametal%-C,TDU-C,DU-C,MP-C,OtoM-C,CO2 Qst ,CO2 Uptake (mol/kg)-C-1 bar-Single
3.32,11.48807,8.37065,1.37242269118886,1.22548,0.61226,0.499608,40.8026755852843,34.6153846153846,6.35451505016722,12.7090301003344,4.68227424749164,0.668896321070234,0.167224080267559,0,282,0.577868852459016,0.114754098360656,2.71428571428571,31.6203326223,2.6811327638
3.88,11.38162,7.55552,1.50639797128457,1.02205,0.59134,0.57858,43.205574912892,36.0627177700348,5.92334494773519,11.1498257839721,2.78745644599303,0.696864111498258,0.174216027874564,0,290,0.584677419354839,0.0645161290322581,4,25.1934820077,1.6641733688
3.19,12.07958,7.0387,1.71616633753392,1.25151,0.61312,0.489904,40.327868852459,33.9344262295082,6.88524590163934,13.1147540983607,4.91803278688525,0.655737704918033,0.163934426229508,0,286,0.58130081300813,0.121951219512195,2.66666666666667,32.4228597522,2.7046290335
4.87,8.37339,6.72824,1.24451416715218,0.606866,0.76684,1.26361,50.251256281407,33.9195979899498,0.50251256281407,12.0603015075377,2.01005025125628,1.00502512562814,0.251256281407035,0,531,0.66375,0.04,6,48.3521493318,5.2836015172
1.68,9.95763,7.76019,1.2831683244869,1.34415,0.51898,0.386104,50.0934579439252,37.2897196261682,4.67289719626168,0,3.36448598130841,1.49532710280374,0.0934579439252337,2.99065420560748,674,0.628731343283582,0.0671641791044776,0,18.4644965033,0.7886472068
11.26,10.4035,8.11106,1.28263137000589,1.0302,0.59202,0.574664,45.0549450549451,31.3186813186813,4.3956043956044,13.1868131868132,3.2967032967033,2.1978021978022,0.549450549450549,0,643,0.653455284552846,0.0731707317073171,4,25.0783831002,1.3176713251
11.26,10.43839,5.81768,1.79425303557432,1.06026,0.57684,0.544055,45.0549450549451,31.3186813186813,4.3956043956044,13.1868131868132,3.2967032967033,2.1978021978022,0.549450549450549,0,643,0.653455284552846,0.0731707317073171,4,25.0908654684,1.51179912
7.97,8.2653,4.68655,1.76362142727593,0.739307,0.71614,0.968664,50.4065040650407,27.2357723577236,0.813008130081301,16.260162601626,3.2520325203252,1.6260162601626,0.40650406504065,0,544,0.731182795698925,0.0645161290322581,5,18.680312734,3.0064115508
7.54,13.96867,8.93656,1.56309250986957,0.931871,0.6462,0.693444,42.2764227642276,25.609756097561,0.813008130081301,24.390243902439,4.8780487804878,1.6260162601626,0.40650406504065,0,581,0.698317307692308,0.115384615384615,5,23.4359204258,2.0975695499
14.85,6.99947,1.76014,3.97665526605838,1.99376,0.44672,0.22406,23.8095238095238,32.1428571428571,23.8095238095238,0,7.14285714285714,11.9047619047619,1.19047619047619,0,176.5,0.326851851851852,0.3,0,28.2492261867,0.556050248
9.67,10.88001,4.87093,2.2336617442665,1.32152,0.52348,0.39612,48.936170212766,31.3829787234043,1.06382978723404,12.7659574468085,3.19148936170213,2.12765957446809,0.531914893617021,0,1001,0.680027173913043,0.0652173913043478,4,27.8492415523,2.3028930927
1.7,19.47946,13.26799,1.46815455845234,0.408967,0.82564,2.01884,53.5073409461664,30.5872756933116,0.163132137030995,11.7455138662316,3.58890701468189,0.32626427406199,0.0815660685154976,0,469.5,0.715701219512195,0.0670731707317073,3.27272727272727,16.1122443143,1.6567721035
5.04,9.61893,8.64314,1.1128976274826,0.79054,0.66518,0.841424,52.093023255814,31.3953488372093,0.465116279069767,12.093023255814,2.7906976744186,0.930232558139535,0.232558139534884,0,627,0.699776785714286,0.0535714285714286,4.33333333333333,21.3150492829,3.4742425012
0.85,12.67081,10.36798,1.22210980345255,1.22804,0.5263,0.42857,44.9956483899043,26.5013054830287,7.13664055700609,4.69973890339426,2.34986945169713,14.2732811140122,0.0435161009573542,0,1460,0.705996131528046,0.0522243713733075,2,40.3056833202,1.6944666145
3.43,7.09824,6.8008,1.04373603105517,1.59831,0.4422,0.276667,41.9475655430712,34.2696629213483,3.37078651685393,7.49063670411985,1.49812734082397,9.73782771535581,0.187265917602996,1.49812734082397,796,0.592261904761905,0.0357142857142857,5,34.1040661636,1.4194212557
10.46,13.37019,8.48032,1.57661385419418,0.693864,0.70792,1.02026,41.2371134020619,26.2886597938144,25.7731958762887,1.03092783505155,3.09278350515464,2.06185567010309,0.515463917525773,0,437,0.6828125,0.075,0.333333333333333,29.4183702711,3.8314066416
2.86,31.65281,25.54525,1.23908789305252,0.501182,0.81906,1.63426,48.3660130718954,25.9803921568627,4.2483660130719,15.6862745098039,3.92156862745098,1.63398692810458,0.163398692810458,0,434,0.733108108108108,0.0810810810810811,4,22.1644809405,1.4738899537
11.51,9.81153,5.08263,1.93040414116314,1.18053,0.51998,0.440461,33.3333333333333,42.6470588235294,6.86274509803922,11.7647058823529,2.94117647058824,1.96078431372549,0.490196078431373,0,295,0.361519607843137,0.0882352941176471,4,25.7189515542,1.0733144038
11.51,9.65319,4.071,2.37120854826824,1.19622,0.51062,0.426863,33.3333333333333,42.6470588235294,6.86274509803922,11.7647058823529,2.94117647058824,1.96078431372549,0.490196078431373,0,295,0.361519607843137,0.0882352941176471,4,24.5125667108,0.8484393828
11.86,9.99798,4.83426,2.06815107172556,1.14889,0.54804,0.477017,33.3333333333333,43.5483870967742,7.52688172043011,6.45161290322581,3.2258064516129,5.37634408602151,0.537634408602151,0,259,0.348118279569892,0.0967741935483871,2,31.3887116613,1.1712330418
11.86,8.86529,4.99795,1.7737852519533,1.1589,0.53994,0.465907,33.3333333333333,43.5483870967742,7.52688172043011,6.45161290322581,3.2258064516129,5.37634408602151,0.537634408602151,0,259,0.348118279569892,0.0967741935483871,2,23.0403331682,1.2987943745
11.07,7.2558,3.10766,2.33481140150467,1.24811,0.47774,0.382771,34.2592592592593,43.0555555555556,6.48148148148148,11.1111111111111,2.77777777777778,1.85185185185185,0.462962962962963,0,331,0.372747747747748,0.0810810810810811,4,33.4169344936,0.5826482327
11.55,9.65894,3.60769,2.6773198362387,1.19253,0.50882,0.426672,34.3434343434343,40.9090909090909,7.07070707070707,12.1212121212121,3.03030303030303,2.02020202020202,0.505050505050505,0,331,0.405637254901961,0.0882352941176471,4,25.7038220001,0.8968131981
10.4,10.29722,4.61532,2.23109556867129,1.30102,0.53864,0.414012,33.3333333333333,43.5483870967742,7.52688172043011,6.45161290322581,3.2258064516129,5.37634408602151,0.537634408602151,0,259,0.348118279569892,0.0967741935483871,2,24.1962725292,1.0049436697
11.86,9.87196,4.27047,2.3116799790187,1.17052,0.53354,0.455813,33.3333333333333,43.5483870967742,7.52688172043011,6.45161290322581,3.2258064516129,5.37634408602151,0.537634408602151,0,259,0.348118279569892,0.0967741935483871,2,22.855112762,0.9910761279
10.2,7.70052,2.16229,3.56127993932359,1.34178,0.41874,0.312079,33.3333333333333,47.6744186046512,5.42635658914729,9.30232558139535,2.32558139534884,1.55038759689922,0.387596899224806,0,295,0.285852713178295,0.0697674418604651,4,31.7681975223,0.4769102028
10.63,8.86328,4.21157,2.1045073452418,1.25319,0.46558,0.371517,34.1880341880342,44.8717948717949,5.98290598290598,10.2564102564103,2.56410256410256,1.70940170940171,0.427350427350427,0,331,0.344791666666667,0.075,4,28.062510096,1.1810025024
9.13,7.37952,2.13708,3.45308551855803,1.58784,0.3783,0.238249,44.2477876106195,33.1858407079646,0.884955752212389,15.929203539823,3.53982300884956,1.76991150442478,0.442477876106195,0,626,0.626,0.08,4.5,35.6471658035,0.6523114805
5.77,16.18912,10.50438,1.54117806096124,0.895627,0.72742,0.812191,33.7552742616034,16.4556962025316,41.3502109704641,0,5.06329113924051,2.9535864978903,0.421940928270042,0,485,0.7578125,0.15,0,18.4276497888,1.5596695905
2.68,10.58965,8.54266,1.23961974373322,0.513581,0.798,1.5538,53.2637075718016,29.11227154047,2.34986945169713,11.4882506527415,3.1331592689295,0.522193211488251,0.130548302872063,0,297.5,0.729166666666667,0.0588235294117647,3.66666666666667,12.1761675576,1.0677893687
1.95,10.48182,8.62307,1.21555548082064,0.846953,0.60826,0.718174,38.3404864091559,45.7081545064378,3.57653791130186,10.3004291845494,1.71673819742489,0.286123032904149,0.0715307582260372,0,217.5,0.405783582089552,0.0447761194029851,6,16.0605170116,0.623303163
1.95,10.02152,8.19038,1.22357204427633,0.863532,0.60068,0.695608,38.3404864091559,45.7081545064378,3.57653791130186,10.3004291845494,1.71673819742489,0.286123032904149,0.0715307582260372,0,217.5,0.405783582089552,0.0447761194029851,6,16.1648602925,0.6887392884
2.61,19.70927,7.99279,2.46588112536423,0.420527,0.82864,1.97048,50.1278772378517,29.539641943734,12.5319693094629,3.0690537084399,4.0920716112532,0.51150895140665,0.127877237851662,0,277.5,0.707908163265306,0.0816326530612245,0.75,11.001630143,0.8539045997
6.77,13.79678,9.90285,1.39321306492575,0.583356,0.7925,1.35852,52.6315789473684,32.7067669172932,0.75187969924812,9.77443609022556,2.25563909774436,1.50375939849624,0.37593984962406,0,387,0.691071428571429,0.0428571428571429,4.33333333333333,16.4333758067,1.6299205053
2.19,11.98331,10.18096,1.17703143907844,0.594689,0.77066,1.2959,48.2456140350877,31.25,2.19298245614035,15.7894736842105,1.97368421052632,0.43859649122807,0.109649122807018,0,596,0.677272727272727,0.0409090909090909,8,17.0900197607,2.4016700877
7.19,8.65012,2.47959,3.48852834541194,1.41861,0.4532,0.319468,51.4851485148515,7.42574257425743,12.8712871287129,23.7623762376238,1.98019801980198,1.98019801980198,0.495049504950495,0,773,0.929086538461538,0.0384615384615385,12,28.643138376,0.5833054648
1.93,9.55254,4.71126,2.0275977127138,1.64752,0.49056,0.297756,18.0952380952381,36.0714285714286,4.52380952380952,27.8571428571429,6.42857142857143,0.476190476190476,0.119047619047619,6.42857142857143,3,0.00493421052631579,0.355263157894737,4.33333333333333,28.731200112,1.161744612
2.99,6.45004,4.60634,1.40025269519836,0.929378,0.65808,0.708086,37.6899696048632,41.1854103343465,5.77507598784195,9.72644376899696,3.64741641337386,0.60790273556231,0.759878419452888,0.60790273556231,451,0.454637096774194,0.0967741935483871,2.66666666666667,20.2435339873,1.536482692
1.96,18.61448,12.59737,1.4776481122647,0.446229,0.8338,1.86855,50.8333333333333,26.5625,2.70833333333333,15,4.375,0.416666666666667,0.104166666666667,0,361.5,0.74077868852459,0.0860655737704918,3.42857142857143,12.3863789817,1.1088545478
11.88,6.55468,2.05449,3.19041708647888,1.57272,0.43706,0.277901,30.5555555555556,18.75,43.0555555555556,0,4.16666666666667,2.77777777777778,0.694444444444444,0,367,0.695075757575758,0.136363636363636,0,24.7964561805,0.5299309024
