LCD (Å)-P,PLD (Å)-P,LCD/PLD,Density (g/cm3)-P,Porosity-P,PV (cm3/g)-P,C%-P,H%-P,N%-P,O%-P,Metal%-P,Halogen%-P,Metalloids%-P,Ametal%-P,TDU-P,DU-P,MP-P,OtoM-P,CO2_Qst,CO2 Uptake (mol/kg)-P-1 bar-Single
7.21328,6.14257,1.17430977587557,0.951704,0.61224070024,0.64331,40.5063291139241,32.9113924050633,15.1898734177215,10.126582278481,1.26582278481013,0,0,0,609,0.5947265625,0.03125,8,25.5972461351,3.5175178731
7.33436,7.04058,1.04172667592727,2.12665,0.5021786244,0.236136,45.6521739130435,32.6086956521739,0,0,4.34782608695652,13.0434782608696,0,4.34782608695652,433,0.644345238095238,0.0952380952380952,0,17.5624910632,0.447404143
9.59448,9.28889,1.03289844104086,1.34204,0.58702037436,0.437409,46.1538461538462,28.8461538461538,5.76923076923077,11.5384615384615,3.84615384615385,3.84615384615385,0,0,529,0.688802083333333,0.0833333333333333,3,15.3988648576,0.7984063249
10.18511,9.7872,1.04065616315187,1.3207,0.5918611394,0.448142,46.1538461538462,28.8461538461538,5.76923076923077,11.5384615384615,3.84615384615385,3.84615384615385,0,0,529,0.688802083333333,0.0833333333333333,3,15.2122731379,0.7443521554
8.09892,7.78142,1.04080232142719,1.42104,0.55984144464,0.393966,46.1538461538462,28.8461538461538,5.76923076923077,11.5384615384615,3.84615384615385,3.84615384615385,0,0,529,0.688802083333333,0.0833333333333333,3,16.9330221693,1.0014909199
9.59311,9.37122,1.02367781356109,1.31308,0.59187868848,0.450756,46.1538461538462,28.8461538461538,5.76923076923077,11.5384615384615,3.84615384615385,3.84615384615385,0,0,397,0.689236111111111,0.0833333333333333,3,15.2530687238,0.7215976056
9.48255,9.1997,1.03074556779025,1.14308,0.55680112648,0.487106,46.1538461538462,28.8461538461538,7.69230769230769,11.5384615384615,3.84615384615385,1.92307692307692,0,0,529,0.688802083333333,0.0833333333333333,3,50.5301055105,7.1243323491
8.89228,8.87656,1.00177095631641,1.69743,0.58670140263,0.345641,23.5294117647059,23.5294117647059,35.2941176470588,0,17.6470588235294,0,0,0,257,0.501953125,0.75,0,9.4941505293,0.0952900932
9.4646,9.44604,1.00196484452744,1.508,0.621179884,0.411923,23.5294117647059,23.5294117647059,35.2941176470588,0,17.6470588235294,0,0,0,257,0.501953125,0.75,0,9.2448982195,0.0884400232
8.54414,6.76583,1.26283693205416,0.566916,0.78982170204,1.39319,48.8372093023256,27.906976744186,6.97674418604651,13.953488372093,2.32558139534884,0,0,0,241,0.717261904761905,0.0476190476190476,6,44.8814343298,5.529378728
8.54927,6.75793,1.26507229284707,0.579935,0.7892799363,1.36098,48.8372093023256,27.906976744186,6.97674418604651,13.953488372093,2.32558139534884,0,0,0,241,0.717261904761905,0.0476190476190476,6,31.8320728252,3.9422687483
8.53138,6.74643,1.26457696885612,0.590912,0.78856024576,1.33448,48.8372093023256,27.906976744186,6.97674418604651,13.953488372093,2.32558139534884,0,0,0,241,0.717261904761905,0.0476190476190476,6,18.8005866035,2.1689842869
6.93569,6.09475,1.13797776775093,1.45916,0.45084104268,0.308973,40,24,16,16,4,0,0,0,1009,0.700694444444444,0.1,4,20.6617478318,2.1110753573
11.02657,9.18974,1.19987834258641,1.00746,0.60423823944,0.599764,41.5492957746479,33.8028169014084,6.33802816901408,13.3802816901408,4.92957746478873,0,0,0,281,0.595338983050847,0.11864406779661,2.71428571428571,31.6572593851,2.6281788265
11.38162,11.08404,1.02684761152071,0.982366,0.612280239186,0.623271,44.1176470588235,35.2941176470588,5.88235294117647,11.7647058823529,2.94117647058824,0,0,0,289,0.602083333333333,0.0666666666666667,4,25.1664328058,1.5513296991
11.07068,9.50061,1.16525991488968,0.988926,0.610479842616,0.617316,41.0344827586207,33.1034482758621,6.89655172413793,13.7931034482759,5.17241379310345,0,0,0,285,0.598739495798319,0.126050420168067,2.66666666666667,32.4138405553,2.6009639132
8.37339,6.72824,1.24451416715218,0.577283,0.78052125298,1.35206,52.1739130434783,32.6086956521739,0,13.0434782608696,2.17391304347826,0,0,0,529,0.688802083333333,0.0416666666666667,6,47.5455920974,5.7308356178
9.95833,7.76019,1.28325852846386,1.32152,0.53452048048,0.404474,50.7692307692308,36.9230769230769,4.61538461538462,0,3.46153846153846,1.15384615384615,0,3.07692307692308,673,0.637310606060606,0.0681818181818182,0,16.93260382,0.7323935605
10.40349,8.69532,1.19644705427747,0.914151,0.647579997645,0.708395,48.6842105263158,27.6315789473684,3.94736842105263,15.7894736842105,3.94736842105263,0,0,0,637,0.717342342342342,0.0810810810810811,4,16.8797308935,0.836122854
10.43855,8.6569,1.2058069285772,0.940824,0.637180580592,0.677258,48.6842105263158,27.6315789473684,3.94736842105263,15.7894736842105,3.94736842105263,0,0,0,637,0.717342342342342,0.0810810810810811,4,17.5168677667,0.9206319265
8.26528,7.02092,1.17723603174513,0.68036,0.7427626192,1.09172,53.7037037037037,24.0740740740741,0,18.5185185185185,3.7037037037037,0,0,0,541,0.777298850574713,0.0689655172413793,5,15.7670028096,2.7139266804
13.96867,13.69556,1.01994149928882,0.861632,0.68379977152,0.79361,44.4444444444444,22.2222222222222,0,27.7777777777778,5.55555555555556,0,0,0,577,0.751302083333333,0.125,5,23.1634750628,1.969200337
7.0096,6.80898,1.02946403132334,1.69759,0.5958201382,0.35098,22.2222222222222,22.2222222222222,33.3333333333333,0,11.1111111111111,11.1111111111111,0,0,163,0.503086419753086,0.5,0,17.8892676509,1.6250308615
